Date, Open, High, Low, Close, Volume, Open Interest
2020-09-09 23:00:00, 517.235, 518.99, 486.68, 492.48, 13478366, 0.0
2020-09-10 23:00:00, 499.42, 506.1, 475.83, 486.695, 15420521, 0.0
2020-09-13 23:00:00, 523.24, 532.6, 505.2457, 514.84, 28324700, 0.0
2020-09-14 23:00:00, 531.2, 531.95, 513.11, 519.88, 17421551, 0.0
2020-09-15 23:00:00, 518.29, 523.71, 500.55, 500.5601, 13450682, 0.0
2020-09-16 23:00:00, 485.2894, 503.59, 481.39, 498.54, 18781808, 0.0
2020-09-17 23:00:00, 503.75, 505.3, 479.55, 487.46, 15962157, 0.0
2020-09-20 23:00:00, 477, 500.9, 476.18, 500.66, 16933856, 0.0
2020-09-21 23:00:00, 503, 505.9199, 486.222, 505.68, 15464736, 0.0
2020-09-22 23:00:00, 503.02, 509.08, 483.17, 485.05, 15184550, 0.0
2020-09-23 23:00:00, 482.89, 502.78, 480.56, 493.92, 17387132, 0.0
2020-09-24 23:00:00, 497.9, 515.34, 489.83, 515, 13924737, 0.0
2020-09-27 23:00:00, 521.61, 522.07, 510, 521.4, 12823864, 0.0
2020-09-28 23:00:00, 517.5, 537.71, 517.33, 528.72, 14786106, 0.0
2020-09-29 23:00:00, 526.3, 544.9, 526.01, 540.895, 15400089, 0.0
2020-09-30 23:00:00, 550.32, 550.5095, 538.4301, 544.7, 11931388, 0.0
2020-10-01 23:00:00, 528.83, 540.78, 522.04, 522.48, 11931193, 0.0
2020-10-04 23:00:00, 529.44, 545.77, 528.9106, 545.7, 10921975, 0.0
2020-10-05 23:00:00, 553.05, 565.68, 546.6, 549.36, 17954642, 0.0
2020-10-06 23:00:00, 560, 564.77, 554.54, 558.56, 9568684, 0.0
2020-10-07 23:00:00, 563.245, 563.38, 550.32, 553.79, 8629288, 0.0
2020-10-08 23:00:00, 550.68, 552.97, 546.43, 550.54, 7747957, 0.0
2020-10-11 23:00:00, 559.58, 573.88, 556.5, 568.71, 9442751, 0.0
2020-10-12 23:00:00, 571.86, 573.9399, 560.745, 569.91, 7501614, 0.0
2020-10-13 23:00:00, 571.04, 573.71, 558.4, 563.61, 5644720, 0.0
2020-10-14 23:00:00, 552.4272, 560.23, 550.71, 558.85, 5753706, 0.0
2020-10-15 23:00:00, 562.12, 564.86, 551.7, 552.46, 5431694, 0.0
2020-10-18 23:00:00, 556.115, 559.3399, 536.27, 539.9399, 5881625, 0.0
2020-10-19 23:00:00, 543.34, 551.99, 540.2801, 545.8199, 4894928, 0.0
2020-10-20 23:00:00, 544.125, 551.66, 539.1001, 541, 4469686, 0.0
2020-10-21 23:00:00, 540.9, 544.47, 529.27, 534.49, 6449414, 0.0
2020-10-22 23:00:00, 538, 543.73, 531.65, 543.61, 5318051, 0.0
2020-10-25 23:00:00, 537.08, 547.7117, 521.54, 525.655, 7094666, 0.0
2020-10-26 23:00:00, 532.24, 537.68, 527.66, 535.72, 5479743, 0.0
2020-10-27 23:00:00, 527.92, 530.4, 504.36, 505.05, 8036848, 0.0
2020-10-28 23:00:00, 513.54, 527.71, 510, 520.62, 6899742, 0.0
2020-10-29 23:00:00, 514, 517.455, 492, 502.385, 8619476, 0.0
2020-11-01 23:00:00, 506.31, 513.4663, 495.8, 503.37, 6427758, 0.0
2020-11-02 23:00:00, 508.2803, 524.2, 504.11, 520.79, 5908434, 0.0
2020-11-03 23:00:00, 535.57, 553.1, 533.475, 551.78, 8730974, 0.0
2020-11-04 23:00:00, 566.5, 573.56, 559.64, 566.41, 6843826, 0.0
2020-11-05 23:00:00, 563.74, 583.55, 555.8, 582.59, 8520399, 0.0
2020-11-08 23:00:00, 582.1, 587.66, 544.43, 545.41, 12588207, 0.0
2020-11-09 23:00:00, 544.26, 544.26, 505.13, 510.55, 14578913, 0.0
2020-11-10 23:00:00, 522.15, 537.395, 517.93, 536.67, 9139584, 0.0
2020-11-11 23:00:00, 539.1569, 550.64, 532.64, 538.5, 8166159, 0.0
2020-11-12 23:00:00, 545.0911, 546.7499, 522.37, 531.76, 7254945, 0.0
2020-11-15 23:00:00, 526.9, 545.98, 526.2401, 534.11, 7312484, 0.0
2020-11-16 23:00:00, 542.1, 543.85, 532.1549, 536.89, 7284221, 0.0
2020-11-17 23:00:00, 538.61, 544.23, 527.4, 537, 9548474, 0.0
2020-11-18 23:00:00, 528.51, 539.5, 524, 537.85, 13466510, 0.0
2020-11-19 23:00:00, 538.16, 539.7799, 522.6, 523.51, 8114541, 0.0
2020-11-22 23:00:00, 526.8452, 535.3, 520.62, 525.201, 7893123, 0.0
2020-11-23 23:00:00, 525.7, 526.48, 515.4, 518.46, 8070493, 0.0
2020-11-24 23:00:00, 521.3, 530.7756, 520.8, 529.4, 6124418, 0.0
2020-11-26 23:00:00, 535, 536.3, 526.8218, 530.67, 3876790, 0.0
2020-11-29 23:00:00, 530.6, 536.5, 518.8941, 536.49, 6138546, 0.0
2020-11-30 23:00:00, 539.69, 541.15, 529.13, 535.6, 6857005, 0.0
2020-12-01 23:00:00, 534.02, 546.9377, 529.37, 541.77, 6652366, 0.0
2020-12-02 23:00:00, 543.5, 546.4, 533.16, 536.12, 4462087, 0.0
2020-12-03 23:00:00, 537.94, 542.3999, 535.5476, 542.39, 4507534, 0.0
2020-12-06 23:00:00, 544.05, 549.25, 540, 544.43, 4999374, 0.0
2020-12-07 23:00:00, 543.4, 543.95, 531.26, 533.84, 6249276, 0.0
2020-12-08 23:00:00, 532.02, 536.56, 514.7295, 517.23, 8532768, 0.0
2020-12-09 23:00:00, 514.76, 522.7499, 513.975, 518.72, 4468802, 0.0
2020-12-10 23:00:00, 518.69, 520.8, 512.92, 520.65, 4709831, 0.0
2020-12-13 23:00:00, 523.515, 535.55, 523.1, 532.35, 6135970, 0.0
2020-12-14 23:00:00, 537.59, 538.56, 527.47, 534.49, 4115931, 0.0
2020-12-15 23:00:00, 536.8999, 537.49, 528.5, 529.49, 4857748, 0.0
2020-12-16 23:00:00, 534.67, 535.18, 527.14, 533.75, 4795287, 0.0
2020-12-17 23:00:00, 535.16, 536.2, 522.82, 530.61, 6032989, 0.0
2020-12-20 23:00:00, 522.99, 534.8, 518.7, 533.13, 5977383, 0.0
2020-12-21 23:00:00, 532.77, 533.4899, 522.1552, 531.13, 4049543, 0.0
2020-12-22 23:00:00, 530.24, 531, 520.2, 520.2, 3814270, 0.0
2020-12-23 23:00:00, 521.49, 525.3, 517.55, 519.71, 2326566, 0.0
2020-12-27 23:00:00, 522.5, 522.5, 510.527, 516.22, 4892280, 0.0
2020-12-28 23:00:00, 517, 522.9, 513.69, 517.75, 4078796, 0.0
2020-12-29 23:00:00, 519.6124, 528.55, 515.87, 525.45, 5033633, 0.0
2020-12-30 23:00:00, 525.46, 526.045, 516.6, 522.12, 4220631, 0.0
2021-01-03 23:00:00, 524.17, 546.0999, 518.5, 524.54, 12699240, 0.0
2021-01-04 23:00:00, 523.99, 537.74, 523.48, 536.24, 6698409, 0.0
2021-01-05 23:00:00, 528.9, 529.8, 503.44, 504.96, 13414494, 0.0
2021-01-06 23:00:00, 518.7, 535.11, 515.4601, 533.81, 10627619, 0.0
2021-01-07 23:00:00, 534.5, 536.8399, 521.68, 531.16, 6537313, 0.0
2021-01-10 23:00:00, 536.75, 558.44, 534.5, 544.57, 12005982, 0.0
2021-01-11 23:00:00, 550.1, 550.18, 533.8, 539.4, 6628513, 0.0
2021-01-12 23:00:00, 539.5986, 544.9999, 535.4001, 541.22, 4712929, 0.0
2021-01-13 23:00:00, 543, 543.99, 527.22, 527.83, 6435675, 0.0
2021-01-14 23:00:00, 529.12, 533.01, 513.94, 514.38, 6260635, 0.0
2021-01-18 23:00:00, 520.65, 523.7593, 513.76, 521.01, 4630213, 0.0
2021-01-19 23:00:00, 524.47, 537.22, 522.27, 534.52, 5808181, 0.0
2021-01-20 23:00:00, 536.7442, 559.9743, 530.1201, 554.7, 7912538, 0.0
2021-01-21 23:00:00, 549.6035, 553.6693, 545.09, 548.5, 5664833, 0.0
2021-01-24 23:00:00, 551.27, 553.14, 529.4592, 546.39, 5801720, 0.0
2021-01-25 23:00:00, 543.2176, 545.79, 535.5, 537.41, 3664562, 0.0
2021-01-26 23:00:00, 529.2, 529.31, 511.75, 517.05, 8394453, 0.0
2021-01-27 23:00:00, 519.85, 533.59, 518.42, 521.93, 5081366, 0.0
2021-01-28 23:00:00, 523, 533.39, 516.4602, 519.03, 6135774, 0.0
2021-01-31 23:00:00, 522.1335, 530.83, 516.11, 529.48, 4754048, 0.0
2021-02-01 23:00:00, 535.95, 542.88, 531.4199, 542.28, 4953201, 0.0
2021-02-02 23:00:00, 545.44, 557.27, 540.66, 541.12, 5733333, 0.0
2021-02-03 23:00:00, 541.24, 546.94, 533.5145, 546.57, 4496185, 0.0
2021-02-04 23:00:00, 549, 549.49, 541.83, 543.401, 3694387, 0.0
2021-02-07 23:00:00, 549.0886, 578.95, 549.0886, 577.51, 10059382, 0.0
2021-02-08 23:00:00, 573.625, 583.33, 568.9, 570.25, 6769489, 0.0
2021-02-09 23:00:00, 578.53, 596.2, 573.655, 590.57, 11455357, 0.0
2021-02-10 23:00:00, 599.21, 610.89, 597, 610.21, 10664620, 0.0
2021-02-11 23:00:00, 602, 611.6455, 591, 598.64, 8813129, 0.0
2021-02-15 23:00:00, 602.57, 614.9, 598, 613.21, 7306324, 0.0
2021-02-16 23:00:00, 606.84, 608.9407, 591.2, 596.24, 6520724, 0.0
2021-02-17 23:00:00, 589.16, 594.93, 583, 593.16, 5277063, 0.0
2021-02-18 23:00:00, 600.98, 607.0799, 593.868, 597.2, 6206727, 0.0
2021-02-21 23:00:00, 590.99, 605.33, 573, 574.23, 7111261, 0.0
2021-02-22 23:00:00, 563.01, 569.55, 535.58, 565.65, 9157155, 0.0
2021-02-23 23:00:00, 564.91, 580.27, 550.24, 580, 8643051, 0.0
2021-02-24 23:00:00, 561.8167, 574.99, 528.65, 532.3, 18980205, 0.0
2021-02-25 23:00:00, 550.1, 554.18, 534.44, 548.2, 11106336, 0.0
2021-02-28 23:00:00, 555, 557, 542.1299, 553.77, 8133236, 0.0
2021-03-01 23:00:00, 556, 556.82, 535.84, 536, 6139967, 0.0
2021-03-02 23:00:00, 537.05, 538.06, 511.95, 512.38, 8782441, 0.0
2021-03-03 23:00:00, 512.03, 519, 483.35, 494.81, 13382779, 0.0
2021-03-04 23:00:00, 502, 502, 467.17, 498.48, 12866722, 0.0
2021-03-07 23:00:00, 498, 498.85, 462.66, 463.73, 12805224, 0.0
2021-03-08 23:00:00, 485.21, 504.67, 482.37, 500.76, 11853130, 0.0
2021-03-09 23:00:00, 513.62, 519.2, 498.3, 498.73, 8956604, 0.0
2021-03-10 23:00:00, 518, 521.85, 509.38, 519.78, 6738365, 0.0
2021-03-11 23:00:00, 505.93, 515.55, 503.6, 514.24, 5334566, 0.0
2021-03-14 23:00:00, 514.59, 528.27, 510.685, 528.12, 4892462, 0.0
2021-03-15 23:00:00, 534.26, 540.5, 524.67, 531.38, 6307506, 0.0
2021-03-16 23:00:00, 521.59, 538.13, 519.58, 533.98, 5573622, 0.0
2021-03-17 23:00:00, 525.46, 527.36, 508.6817, 508.79, 6712135, 0.0
2021-03-18 23:00:00, 510, 516.86, 504.5, 513.83, 5763699, 0.0
2021-03-21 23:00:00, 516.51, 535.78, 516.27, 527.45, 6305923, 0.0
2021-03-22 23:00:00, 531.11, 533.78, 520.85, 522.75, 5053920, 0.0
2021-03-23 23:00:00, 526.84, 526.365, 505.47, 505.72, 5516185, 0.0
2021-03-24 23:00:00, 499.99, 508.59, 490.88, 501.19, 6830313, 0.0
2021-03-25 23:00:00, 502, 514.25, 494.94, 513.83, 7593336, 0.0
2021-03-28 23:00:00, 512.11, 522.5, 508, 518.07, 5982066, 0.0
2021-03-29 23:00:00, 513.17, 519.01, 508.2, 514.57, 4336321, 0.0
2021-03-30 23:00:00, 520.62, 538.82, 519.3, 533.95, 6716820, 0.0
2021-03-31 23:00:00, 542.56, 554.8, 540.45, 552.73, 6942726, 0.0
2021-04-04 23:00:00, 554.7, 560.5585, 549.32, 559.4, 5405865, 0.0
2021-04-05 23:00:00, 559.61, 562.165, 550.9449, 554.34, 4076188, 0.0
2021-04-06 23:00:00, 555.5, 569.7399, 548.46, 565.74, 5513763, 0.0
2021-04-07 23:00:00, 570.11, 578.86, 569.9577, 572.91, 5499077, 0.0
2021-04-08 23:00:00, 568.56, 576.32, 567, 576, 4006318, 0.0
2021-04-11 23:00:00, 571.59, 614.1, 565.57, 608.3, 20803112, 0.0
2021-04-12 23:00:00, 609.26, 628, 605.03, 627.27, 15727450, 0.0
2021-04-13 23:00:00, 624.99, 628.8184, 609.1, 611.13, 8605571, 0.0
2021-04-14 23:00:00, 626.83, 648.566, 625.26, 645.48, 13970664, 0.0
2021-04-15 23:00:00, 642.3, 646.63, 634.61, 636.5, 7578435, 0.0
2021-04-18 23:00:00, 621.4616, 632.3, 609.3201, 614.342, 9216798, 0.0
2021-04-19 23:00:00, 612.56, 619.88, 598.52, 606.84, 7522219, 0.0
2021-04-20 23:00:00, 605.11, 614.5, 604.09, 614.42, 4657401, 0.0
2021-04-21 23:00:00, 615, 617.5427, 591.34, 594.01, 6356991, 0.0
2021-04-22 23:00:00, 596.1, 613.395, 596.01, 610.62, 5005653, 0.0
2021-04-25 23:00:00, 607.38, 619.16, 605, 619.16, 4512201, 0.0
2021-04-26 23:00:00, 622.74, 626.82, 614.18, 615.27, 3765725, 0.0
2021-04-27 23:00:00, 614.2, 621.29, 608.6207, 611.32, 4596982, 0.0
2021-04-28 23:00:00, 616, 617.46, 602.86, 613.06, 3822635, 0.0
2021-04-29 23:00:00, 606.29, 614.5999, 599.88, 600.29, 3906041, 0.0
2021-05-02 23:00:00, 605.26, 609.87, 591.5, 593.38, 4616632, 0.0
2021-05-03 23:00:00, 585.43, 585.5, 560.4101, 574.14, 9216792, 0.0
2021-05-04 23:00:00, 588.98, 592.54, 575.5, 578.41, 6624354, 0.0
2021-05-05 23:00:00, 579.47, 582.85, 568.7236, 580.94, 4363309, 0.0
2021-05-06 23:00:00, 591.66, 598.83, 586.8683, 592.5, 4890795, 0.0
2021-05-09 23:00:00, 590.82, 592.24, 570, 570.5, 5825593, 0.0
2021-05-10 23:00:00, 553.5, 574.19, 550, 572.25, 6568258, 0.0
2021-05-11 23:00:00, 560.38, 570.41, 548.37, 550.425, 6689778, 0.0
2021-05-12 23:00:00, 561.35, 563.23, 538.36, 546.61, 6427866, 0.0
2021-05-13 23:00:00, 555, 573.1242, 549.94, 569.64, 5661025, 0.0
2021-05-16 23:00:00, 566.43, 566.77, 554.14, 566.77, 4818936, 0.0
2021-05-17 23:00:00, 570.97, 576.17, 560.16, 560.5725, 4243896, 0.0
2021-05-18 23:00:00, 542.85, 563.18, 541.73, 562.97, 7629505, 0.0
2021-05-19 23:00:00, 572.1, 587.3514, 570.82, 584.5, 7309884, 0.0
2021-05-20 23:00:00, 606.3, 608.88, 594.7756, 599.69, 15333938, 0.0
2021-05-23 23:00:00, 608.15, 629.8, 607.04, 624.48, 12603356, 0.0
2021-05-24 23:00:00, 630.4, 632.7399, 619.3, 625.94, 9906762, 0.0
2021-05-25 23:00:00, 629.2, 631.75, 623.45, 625.42, 3222743, 0.0
