Date, Open, High, Low, Close, Volume, Open Interest
2021-05-24 13:10:00, 119.62, 119.62, 119.53, 119.53, 626, 0.0
2021-05-24 13:15:00, 119.485, 119.485, 119.485, 119.485, 100, 0.0
2021-05-24 13:20:00, 119.5, 119.5, 119.48, 119.49, 510, 0.0
2021-05-24 13:30:00, 119.37, 119.385, 119.35, 119.35, 501, 0.0
2021-05-24 13:35:00, 119.35, 119.35, 119.35, 119.35, 107, 0.0
2021-05-24 13:40:00, 119.44, 119.44, 119.44, 119.44, 100, 0.0
2021-05-24 13:55:00, 119.46, 119.46, 119.39, 119.39, 303, 0.0
2021-05-24 14:05:00, 119.34, 119.34, 119.34, 119.34, 106, 0.0
2021-05-24 14:10:00, 119.37, 119.37, 119.37, 119.37, 201, 0.0
2021-05-24 14:15:00, 119.36, 119.36, 119.36, 119.36, 100, 0.0
2021-05-24 14:20:00, 119.575, 119.575, 119.575, 119.575, 144, 0.0
2021-05-24 14:25:00, 119.51, 119.52, 119.5, 119.52, 311, 0.0
2021-05-24 14:30:00, 119.43, 119.45, 119.43, 119.44, 700, 0.0
2021-05-24 14:40:00, 119.25, 119.25, 119.205, 119.205, 494, 0.0
2021-05-24 14:45:00, 119.135, 119.21, 119.135, 119.15, 1388, 0.0
2021-05-24 14:50:00, 119.045, 119.045, 119.02, 119.02, 300, 0.0
2021-05-24 14:55:00, 118.98, 119.02, 118.93, 119.02, 1543, 0.0
2021-05-25 08:30:00, 119.045, 119.13, 118.87, 119.07, 1058, 0.0
2021-05-25 08:35:00, 118.7, 119.04, 118.4, 118.4, 925, 0.0
2021-05-25 08:40:00, 118.6, 118.6, 118.22, 118.22, 1031, 0.0
2021-05-25 08:45:00, 118.23, 118.23, 118.23, 118.23, 100, 0.0
2021-05-25 08:50:00, 118.25, 118.63, 118.25, 118.63, 735, 0.0
2021-05-25 08:55:00, 118.81, 118.84, 118.68, 118.84, 781, 0.0
2021-05-25 09:00:00, 118.765, 118.765, 118.765, 118.765, 100, 0.0
2021-05-25 09:05:00, 118.89, 118.89, 118.78, 118.78, 672, 0.0
2021-05-25 09:10:00, 118.695, 118.73, 118.55, 118.58, 416, 0.0
2021-05-25 09:15:00, 118.64, 118.72, 118.62, 118.62, 410, 0.0
2021-05-25 09:20:00, 118.57, 118.69, 118.57, 118.69, 237, 0.0
2021-05-25 09:25:00, 118.6, 118.6, 118.56, 118.58, 400, 0.0
2021-05-25 09:30:00, 118.72, 118.72, 118.72, 118.72, 100, 0.0
2021-05-25 09:35:00, 118.64, 118.64, 118.64, 118.64, 200, 0.0
2021-05-25 09:45:00, 118.74, 118.74, 118.74, 118.74, 200, 0.0
2021-05-25 09:50:00, 118.69, 118.69, 118.57, 118.57, 595, 0.0
2021-05-25 09:55:00, 118.62, 118.62, 118.57, 118.57, 206, 0.0
2021-05-25 10:00:00, 118.57, 118.57, 118.54, 118.54, 201, 0.0
2021-05-25 10:10:00, 118.79, 118.79, 118.62, 118.62, 200, 0.0
2021-05-25 10:15:00, 118.73, 118.73, 118.635, 118.635, 300, 0.0
2021-05-25 10:20:00, 118.59, 118.71, 118.57, 118.57, 1608, 0.0
2021-05-25 10:25:00, 118.555, 118.61, 118.555, 118.61, 200, 0.0
2021-05-25 10:30:00, 118.37, 118.37, 118.33, 118.33, 200, 0.0
2021-05-25 10:35:00, 118.47, 118.54, 118.47, 118.54, 200, 0.0
2021-05-25 10:45:00, 118.455, 118.455, 118.455, 118.455, 100, 0.0
2021-05-25 10:55:00, 118.39, 118.39, 118.39, 118.39, 110, 0.0
2021-05-25 11:00:00, 118.39, 118.39, 118.39, 118.39, 100, 0.0
2021-05-25 11:10:00, 118.46, 118.46, 118.46, 118.46, 100, 0.0
2021-05-25 11:15:00, 118.45, 118.555, 118.45, 118.53, 644, 0.0
2021-05-25 11:50:00, 118.48, 118.48, 118.48, 118.48, 485, 0.0
2021-05-25 11:55:00, 118.56, 118.56, 118.51, 118.51, 200, 0.0
2021-05-25 12:00:00, 118.49, 118.49, 118.49, 118.49, 314, 0.0
2021-05-25 12:10:00, 118.55, 118.55, 118.55, 118.55, 191, 0.0
2021-05-25 12:35:00, 118.48, 118.49, 118.48, 118.49, 370, 0.0
2021-05-25 12:45:00, 118.36, 118.36, 118.31, 118.31, 453, 0.0
2021-05-25 12:55:00, 118.29, 118.31, 118.29, 118.31, 301, 0.0
2021-05-25 13:00:00, 118.265, 118.265, 118.265, 118.265, 204, 0.0
2021-05-25 13:05:00, 118.29, 118.29, 118.265, 118.265, 209, 0.0
2021-05-25 13:10:00, 118.33, 118.33, 118.33, 118.33, 100, 0.0
2021-05-25 13:15:00, 118.28, 118.3, 118.28, 118.3, 200, 0.0
2021-05-25 13:20:00, 118.22, 118.22, 118.22, 118.22, 209, 0.0
2021-05-25 13:25:00, 118.195, 118.195, 118.175, 118.175, 360, 0.0
2021-05-25 13:35:00, 118.27, 118.27, 118.27, 118.27, 101, 0.0
2021-05-25 13:40:00, 118.28, 118.37, 118.28, 118.37, 200, 0.0
2021-05-25 13:50:00, 118.26, 118.26, 118.21, 118.21, 628, 0.0
2021-05-25 13:55:00, 118.26, 118.26, 118.26, 118.26, 100, 0.0
2021-05-25 14:00:00, 118.23, 118.23, 118.23, 118.23, 100, 0.0
2021-05-25 14:05:00, 118.23, 118.23, 118.19, 118.22, 758, 0.0
2021-05-25 14:10:00, 118.26, 118.26, 118.26, 118.26, 224, 0.0
2021-05-25 14:15:00, 118.25, 118.25, 118.19, 118.2, 513, 0.0
2021-05-25 14:20:00, 118.315, 118.315, 118.315, 118.315, 100, 0.0
2021-05-25 14:25:00, 118.37, 118.37, 118.37, 118.37, 101, 0.0
2021-05-25 14:30:00, 118.34, 118.34, 118.18, 118.21, 310, 0.0
2021-05-25 14:35:00, 118.21, 118.32, 118.21, 118.32, 1149, 0.0
2021-05-25 14:40:00, 118.23, 118.25, 118.2, 118.2, 1336, 0.0
2021-05-25 14:45:00, 118.27, 118.27, 118.165, 118.17, 1016, 0.0
2021-05-25 14:50:00, 118.19, 118.22, 118.04, 118.07, 3272, 0.0
2021-05-25 14:55:00, 118.08, 118.24, 118.08, 118.23, 3537, 0.0
2021-05-26 08:30:00, 118.545, 118.79, 118.39, 118.71, 1557, 0.0
2021-05-26 08:35:00, 118.95, 118.99, 118.9, 118.93, 977, 0.0
2021-05-26 08:40:00, 119.16, 119.16, 119.06, 119.08, 743, 0.0
2021-05-26 08:45:00, 119.01, 119.07, 119, 119.07, 1030, 0.0
2021-05-26 08:50:00, 119.115, 119.115, 119.07, 119.105, 700, 0.0
2021-05-26 08:55:00, 119.07, 119.07, 118.94, 118.95, 1198, 0.0
2021-05-26 09:00:00, 118.89, 118.89, 118.72, 118.77, 1148, 0.0
2021-05-26 09:05:00, 118.73, 118.73, 118.685, 118.685, 400, 0.0
2021-05-26 09:10:00, 118.56, 118.565, 118.555, 118.565, 310, 0.0
2021-05-26 09:15:00, 118.49, 118.54, 118.49, 118.5, 901, 0.0
2021-05-26 09:20:00, 118.62, 118.62, 118.59, 118.59, 381, 0.0
2021-05-26 09:25:00, 118.62, 118.63, 118.565, 118.565, 823, 0.0
2021-05-26 09:30:00, 118.53, 118.54, 118.38, 118.38, 545, 0.0
2021-05-26 09:35:00, 118.32, 118.38, 118.3, 118.38, 1343, 0.0
2021-05-26 09:40:00, 118.505, 118.505, 118.345, 118.345, 846, 0.0
2021-05-26 09:45:00, 118.375, 118.42, 118.36, 118.4, 4613, 0.0
2021-05-26 09:50:00, 118.375, 118.375, 118.25, 118.25, 684, 0.0
2021-05-26 09:55:00, 118.31, 118.39, 118.31, 118.31, 400, 0.0
2021-05-26 10:00:00, 118.29, 118.34, 118.285, 118.285, 600, 0.0
2021-05-26 10:05:00, 118.24, 118.24, 118.18, 118.18, 300, 0.0
2021-05-26 10:10:00, 118.11, 118.11, 118.11, 118.11, 200, 0.0
2021-05-26 10:15:00, 118.17, 118.17, 118.05, 118.05, 902, 0.0
2021-05-26 10:20:00, 117.9, 118.005, 117.9, 117.97, 904, 0.0
2021-05-26 10:25:00, 117.99, 118.02, 117.96, 117.96, 791, 0.0
2021-05-26 10:30:00, 117.92, 117.92, 117.81, 117.81, 313, 0.0
2021-05-26 10:35:00, 117.845, 117.91, 117.83, 117.91, 1452, 0.0
2021-05-26 10:40:00, 117.825, 117.825, 117.8, 117.805, 401, 0.0
