Date, Open, High, Low, Close, Volume, Open Interest
2020-09-08 23:00:00, 43.99, 44.99, 43.71, 44.59, 11361464, 0.0
2020-09-09 23:00:00, 44.92, 44.965, 43.86, 44.02, 11739631, 0.0
2020-09-10 23:00:00, 44.09, 44.74, 43.97, 44.67, 15519755, 0.0
2020-09-13 23:00:00, 45.02, 45.49, 44.71, 45.27, 8745566, 0.0
2020-09-14 23:00:00, 45.16, 46.74, 45.05, 46.45, 16777945, 0.0
2020-09-15 23:00:00, 47.05, 47.5, 46.7, 46.8, 15860304, 0.0
2020-09-16 23:00:00, 45.94, 46.43, 45.02, 45.62, 14099364, 0.0
2020-09-17 23:00:00, 45.48, 45.85, 44.29, 45.26, 25226537, 0.0
2020-09-20 23:00:00, 44.92, 45.44, 43.41, 44.69, 23406041, 0.0
2020-09-21 23:00:00, 44.94, 46.475, 44.84, 46.17, 25167453, 0.0
2020-09-22 23:00:00, 46.2, 46.38, 45.245, 45.36, 16299351, 0.0
2020-09-23 23:00:00, 45.19, 46.08, 44.905, 45.7, 12311951, 0.0
2020-09-24 23:00:00, 45.35, 46.33, 45.22, 46.16, 10074603, 0.0
2020-09-27 23:00:00, 46.89, 47.07, 46.24, 46.79, 11593091, 0.0
2020-09-28 23:00:00, 46.85, 46.87, 46.17, 46.19, 8892574, 0.0
2020-09-29 23:00:00, 46.5271, 46.72, 45.75, 46.26, 18133202, 0.0
2020-09-30 23:00:00, 46.566, 46.77, 46.17, 46.44, 9447243, 0.0
2020-10-01 23:00:00, 45.8, 45.99, 45.11, 45.13, 12727050, 0.0
2020-10-04 23:00:00, 45.3, 45.93, 45.02, 45.79, 9998291, 0.0
2020-10-05 23:00:00, 45.28, 45.52, 44.37, 44.5, 9588167, 0.0
2020-10-06 23:00:00, 45.03, 45.105, 44.26, 44.96, 11574273, 0.0
2020-10-07 23:00:00, 45.0895, 45.39, 44.83, 45.3, 10101800, 0.0
2020-10-08 23:00:00, 45.3801, 45.63, 44.68, 44.82, 18307801, 0.0
2020-10-11 23:00:00, 45.3, 46.26, 44.922, 46, 14860208, 0.0
2020-10-12 23:00:00, 46.13, 46.31, 45.38, 45.89, 10542418, 0.0
2020-10-13 23:00:00, 45.79, 46.005, 44.99, 45.27, 9035350, 0.0
2020-10-14 23:00:00, 45.1, 45.15, 44.525, 45.13, 6986052, 0.0
2020-10-15 23:00:00, 45.225, 45.885, 44.9, 45.59, 10106384, 0.0
2020-10-18 23:00:00, 45.56, 45.76, 44.2, 44.35, 8521060, 0.0
2020-10-19 23:00:00, 44.63, 44.66, 44.13, 44.27, 7579258, 0.0
2020-10-20 23:00:00, 44.01, 44.82, 43.97, 44.51, 7259621, 0.0
2020-10-21 23:00:00, 44.5, 45.235, 44.4, 45.09, 9709278, 0.0
2020-10-22 23:00:00, 45.4, 45.55, 44.6, 45.07, 7788157, 0.0
2020-10-25 23:00:00, 44.71, 44.82, 43.55, 43.77, 10441087, 0.0
2020-10-26 23:00:00, 43.6, 43.84, 43.36, 43.44, 7418743, 0.0
2020-10-27 23:00:00, 42.91, 43.07, 41.91, 41.98, 14041604, 0.0
2020-10-28 23:00:00, 42.08, 43.69, 41.89, 43.05, 15306525, 0.0
2020-10-29 23:00:00, 42.47, 43.05, 41.7464, 42.26, 14655695, 0.0
2020-11-01 23:00:00, 42.76, 42.93, 40.965, 41.41, 16665686, 0.0
2020-11-02 23:00:00, 41.95, 42.98, 41.7521, 42.59, 18269798, 0.0
2020-11-03 23:00:00, 44.27, 44.61, 43.41, 43.7, 15059489, 0.0
2020-11-04 23:00:00, 44.3967, 44.81, 44.21, 44.35, 14614888, 0.0
2020-11-05 23:00:00, 44.57, 44.7, 43.95, 44.54, 9941629, 0.0
2020-11-08 23:00:00, 47.6, 48.23, 46.72, 47.19, 26859326, 0.0
2020-11-09 23:00:00, 46.1655, 47.96, 45.95, 47.77, 13548050, 0.0
2020-11-10 23:00:00, 47.78, 47.97, 47.12, 47.68, 7945611, 0.0
2020-11-11 23:00:00, 47.6275, 48.09, 47.25, 48.01, 15747931, 0.0
2020-11-12 23:00:00, 47.81, 49.245, 47.73, 49.225, 11540089, 0.0
2020-11-15 23:00:00, 49.4, 49.75, 49.25, 49.54, 15986132, 0.0
2020-11-16 23:00:00, 49.19, 49.99, 48.98, 49.77, 13695372, 0.0
2020-11-17 23:00:00, 49.6, 50.38, 49.04, 49.14, 15535856, 0.0
2020-11-18 23:00:00, 49.2109, 49.735, 49, 49.47, 10163127, 0.0
2020-11-19 23:00:00, 49.28, 49.68, 49.1, 49.16, 10164253, 0.0
2020-11-22 23:00:00, 49.09, 49.98, 48.79, 49.81, 10463121, 0.0
2020-11-23 23:00:00, 50, 52.49, 49.92, 52.34, 25213135, 0.0
2020-11-24 23:00:00, 52.17, 52.195, 50.7779, 51.81, 17202611, 0.0
2020-11-26 23:00:00, 51.31, 52.21, 51.31, 51.75, 5327164, 0.0
2020-11-29 23:00:00, 51.13, 51.48, 49.84, 50.24, 16343302, 0.0
2020-11-30 23:00:00, 50.75, 51.27, 50.11, 51.02, 11643028, 0.0
2020-12-01 23:00:00, 50.93, 51.335, 50.81, 51.05, 9707029, 0.0
2020-12-02 23:00:00, 50.77, 51.72, 50.68, 51.63, 11576768, 0.0
2020-12-03 23:00:00, 51.75, 51.91, 51.49, 51.71, 8029194, 0.0
2020-12-06 23:00:00, 51.58, 52.02, 51.24, 51.92, 7864114, 0.0
2020-12-07 23:00:00, 51.3, 51.8, 51.21, 51.41, 10469964, 0.0
2020-12-08 23:00:00, 51.62, 52.355, 51.15, 51.25, 12404462, 0.0
2020-12-09 23:00:00, 51.28, 51.28, 50.25, 50.48, 12148224, 0.0
2020-12-10 23:00:00, 50.5674, 51.105, 50.13, 50.93, 14709165, 0.0
2020-12-13 23:00:00, 50.8528, 51.27, 50.75, 50.99, 10550282, 0.0
2020-12-14 23:00:00, 51.38, 52.095, 51.3, 51.52, 14488989, 0.0
2020-12-15 23:00:00, 51.68, 52.07, 51.01, 51.43, 9999453, 0.0
2020-12-16 23:00:00, 51.54, 51.88, 51.08, 51.36, 10113564, 0.0
2020-12-17 23:00:00, 51.56, 51.6, 50.4, 50.9, 16220586, 0.0
2020-12-20 23:00:00, 50.52, 50.65, 49.48, 50.37, 11437195, 0.0
2020-12-21 23:00:00, 50, 50.31, 49.8, 50.03, 8309775, 0.0
2020-12-22 23:00:00, 50.15, 50.27, 49.65, 50.035, 10088467, 0.0
2020-12-23 23:00:00, 50.2, 50.44, 50.085, 50.38, 3376118, 0.0
2020-12-27 23:00:00, 50.78, 51.36, 50.53, 51.11, 9302460, 0.0
2020-12-28 23:00:00, 51.16, 51.7277, 51.04, 51.56, 8475636, 0.0
2020-12-29 23:00:00, 51.69, 51.925, 51.19, 51.21, 6921495, 0.0
2020-12-30 23:00:00, 51.3597, 52.48, 51.24, 52.4, 8647408, 0.0
2021-01-03 23:00:00, 52.28, 52.4, 49.615, 50.5, 16601955, 0.0
2021-01-04 23:00:00, 50.1597, 50.295, 49.195, 49.98, 11631544, 0.0
2021-01-05 23:00:00, 49.12, 50.77, 49.1, 50.56, 18871307, 0.0
2021-01-06 23:00:00, 50.2, 50.98, 50.1, 50.65, 12819108, 0.0
2021-01-07 23:00:00, 50.3588, 51.66, 50.31, 51.55, 16187277, 0.0
2021-01-10 23:00:00, 51.735, 51.74, 50.7279, 51.53, 15380086, 0.0
2021-01-11 23:00:00, 51.29, 51.545, 49.61, 50.01, 17131061, 0.0
2021-01-12 23:00:00, 49.62, 50.375, 49.521, 50.15, 11473713, 0.0
2021-01-13 23:00:00, 50.16, 50.27, 49.435, 49.57, 13950786, 0.0
2021-01-14 23:00:00, 49.21, 49.26, 48.15, 48.68, 20093414, 0.0
2021-01-18 23:00:00, 48.67, 49.09, 48.31, 48.85, 12315382, 0.0
2021-01-19 23:00:00, 48.99, 49.17, 48.66, 48.88, 11808236, 0.0
2021-01-20 23:00:00, 48.5, 49.27, 48.24, 49.12, 17430370, 0.0
2021-01-21 23:00:00, 48.84, 48.935, 48.2628, 48.65, 10043924, 0.0
2021-01-24 23:00:00, 48.5, 49.13, 48.32, 48.97, 13490528, 0.0
2021-01-25 23:00:00, 49.1505, 50.205, 48.88, 50.1, 18462441, 0.0
2021-01-26 23:00:00, 49.47, 50.23, 48.32, 48.51, 21549403, 0.0
2021-01-27 23:00:00, 50, 52.29, 49.78, 51.45, 22746212, 0.0
2021-01-28 23:00:00, 50.31, 51.2, 49.49, 49.55, 18053563, 0.0
2021-01-31 23:00:00, 49.86, 50.36, 49.1, 50.15, 14621347, 0.0
2021-02-01 23:00:00, 50.35, 51.475, 50.07, 51.18, 14268180, 0.0
2021-02-02 23:00:00, 51.25, 51.53, 50.42, 50.43, 13292607, 0.0
2021-02-03 23:00:00, 50.33, 51.5, 50.23, 51.46, 15538288, 0.0
2021-02-04 23:00:00, 51.8633, 52.07, 50.935, 51.12, 8414226, 0.0
2021-02-07 23:00:00, 51.06, 52.08, 51.02, 51.87, 12426150, 0.0
2021-02-08 23:00:00, 52, 52.99, 51.355, 52.72, 12679074, 0.0
2021-02-09 23:00:00, 53.04, 53.06, 52.04, 52.76, 14620752, 0.0
2021-02-10 23:00:00, 52.919, 53.31, 52.51, 53.24, 9573735, 0.0
2021-02-11 23:00:00, 53.32, 53.6, 52.945, 53.22, 7563750, 0.0
2021-02-15 23:00:00, 53, 53.225, 52.535, 52.83, 9017634, 0.0
2021-02-16 23:00:00, 52.73, 53.25, 52.41, 53.01, 8660108, 0.0
2021-02-17 23:00:00, 52.68, 52.87, 52.26, 52.56, 11423830, 0.0
2021-02-18 23:00:00, 52.41, 52.6, 51.77, 52.09, 11626686, 0.0
2021-02-21 23:00:00, 51.97, 52.86, 51.805, 52.5, 10614084, 0.0
2021-02-22 23:00:00, 52.8, 53.42, 52.08, 53.35, 16636542, 0.0
2021-02-23 23:00:00, 52.57, 53.53, 52.57, 53.4, 15617840, 0.0
2021-02-24 23:00:00, 53.09, 53.41, 51.95, 52.24, 16743156, 0.0
2021-02-25 23:00:00, 52.27, 53.455, 51.89, 52.67, 17495129, 0.0
2021-02-28 23:00:00, 53.22, 54.71, 52.88, 54.46, 13055653, 0.0
2021-03-01 23:00:00, 54.31, 54.78, 54.07, 54.24, 10987539, 0.0
2021-03-02 23:00:00, 53.9235, 54.795, 53.64, 53.72, 19291659, 0.0
2021-03-03 23:00:00, 53.82, 55.25, 53.6, 53.97, 25117450, 0.0
2021-03-04 23:00:00, 54.69, 55.265, 53.925, 55.04, 18338459, 0.0
2021-03-07 23:00:00, 54.82, 55.8265, 54.665, 55.48, 19611204, 0.0
2021-03-08 23:00:00, 55.47, 56.115, 55.11, 55.57, 18682104, 0.0
2021-03-09 23:00:00, 56.1, 57.685, 55.77, 57.22, 19669669, 0.0
2021-03-10 23:00:00, 56.615, 57.7, 56.61, 56.89, 13899348, 0.0
2021-03-11 23:00:00, 56.8505, 57.39, 56.21, 57.09, 12914026, 0.0
2021-03-14 23:00:00, 57.228, 57.59, 56.525, 57.54, 11513502, 0.0
2021-03-15 23:00:00, 57.5945, 58.585, 57.37, 58.04, 12351207, 0.0
2021-03-16 23:00:00, 57.4, 57.88, 56.56, 57.5, 13624015, 0.0
2021-03-17 23:00:00, 56.68, 57.12, 55.8, 55.86, 15816611, 0.0
2021-03-18 23:00:00, 55.52, 56.04, 55.27, 55.37, 18325021, 0.0
2021-03-21 23:00:00, 55.7, 56.52, 55.25, 56.38, 11782709, 0.0
2021-03-22 23:00:00, 56.46, 56.72, 56, 56.14, 11561215, 0.0
2021-03-23 23:00:00, 56.05, 56.505, 55.86, 55.93, 12137950, 0.0
2021-03-24 23:00:00, 56.1745, 56.495, 55.43, 56.3, 14690107, 0.0
2021-03-25 23:00:00, 56.2, 56.56, 53.855, 55.18, 18498571, 0.0
2021-03-28 23:00:00, 55.0326, 55.615, 54.17, 55.19, 15217865, 0.0
2021-03-29 23:00:00, 55.38, 55.52, 54.56, 55.02, 9647493, 0.0
2021-03-30 23:00:00, 54.78, 54.87, 53.97, 54.13, 15797540, 0.0
2021-03-31 23:00:00, 54.62, 55.08, 54.23, 54.75, 14114938, 0.0
2021-04-04 23:00:00, 54.46, 55.115, 54.45, 54.8, 11610964, 0.0
2021-04-05 23:00:00, 54.38, 55.0463, 54.14, 54.84, 11169272, 0.0
2021-04-06 23:00:00, 55.095, 55.12, 54.24, 54.6, 15298163, 0.0
2021-04-07 23:00:00, 54.58, 54.63, 54.1, 54.34, 8474517, 0.0
2021-04-08 23:00:00, 53.8, 53.88, 52.455, 53.56, 15503120, 0.0
2021-04-11 23:00:00, 53.46, 53.7, 53.12, 53.33, 11836425, 0.0
2021-04-12 23:00:00, 53.43, 53.99, 53.26, 53.87, 12587866, 0.0
2021-04-13 23:00:00, 53.68, 53.88, 53.15, 53.3, 9774759, 0.0
2021-04-14 23:00:00, 53.57, 54.5, 53.51, 54.15, 13251353, 0.0
2021-04-15 23:00:00, 55, 55.5, 54.59, 55.11, 14147681, 0.0
2021-04-18 23:00:00, 54.94, 55.01, 53.91, 54.15, 11908323, 0.0
2021-04-19 23:00:00, 53.79, 54.27, 53.655, 54.17, 12381710, 0.0
2021-04-20 23:00:00, 54.27, 54.765, 53.77, 54.66, 12100344, 0.0
2021-04-21 23:00:00, 54.29, 54.74, 54.14, 54.4, 11753016, 0.0
2021-04-22 23:00:00, 54.31, 54.71, 53.97, 54.39, 8730810, 0.0
2021-04-25 23:00:00, 54.3773, 54.58, 54.01, 54.33, 8695825, 0.0
2021-04-26 23:00:00, 54.46, 54.77, 54.22, 54.3, 9349945, 0.0
2021-04-27 23:00:00, 54.1, 54.58, 53.95, 54.13, 10015843, 0.0
2021-04-28 23:00:00, 55.98, 56.49, 55.28, 56.42, 17402175, 0.0
2021-04-29 23:00:00, 56.44, 56.44, 54.73, 56.16, 14547680, 0.0
2021-05-02 23:00:00, 56.38, 56.97, 56.17, 56.57, 11741135, 0.0
2021-05-03 23:00:00, 56.41, 56.85, 56.18, 56.64, 17954300, 0.0
2021-05-04 23:00:00, 57.01, 57.03, 56.26, 56.46, 10157069, 0.0
2021-05-05 23:00:00, 56.57, 57.1, 56.45, 56.97, 10584567, 0.0
2021-05-06 23:00:00, 57.25, 58.415, 56.7, 58.11, 15038727, 0.0
2021-05-09 23:00:00, 58.22, 59.11, 57.485, 57.53, 14443212, 0.0
2021-05-10 23:00:00, 57.52, 57.78, 56.95, 57.49, 12970827, 0.0
2021-05-11 23:00:00, 56.91, 57.135, 56.56, 56.62, 12457634, 0.0
2021-05-12 23:00:00, 56.59, 58.055, 56.39, 57.37, 12451618, 0.0
2021-05-13 23:00:00, 57.85, 58.88, 57.38, 58.68, 12607754, 0.0
2021-05-16 23:00:00, 58.04, 58.27, 55.11, 55.455, 23247384, 0.0
2021-05-17 23:00:00, 55.75, 55.95, 54.68, 54.95, 26940706, 0.0
2021-05-18 23:00:00, 54.61, 54.67, 53.67, 54.24, 15852625, 0.0
2021-05-19 23:00:00, 54.1228, 55.33, 54.09, 55.045, 11176167, 0.0
2021-05-20 23:00:00, 55.38, 55.49, 54.92, 55.09, 12815219, 0.0
2021-05-23 23:00:00, 55.58, 55.765, 54.8675, 55.66, 10381220, 0.0
2021-05-24 23:00:00, 55.93, 56.23, 55.5, 55.71, 9124479, 0.0
2021-05-25 23:00:00, 55.97, 57.53, 55.605, 57.1, 11780872, 0.0
