Date, Open, High, Low, Close, Volume, Open Interest
2021-05-20, o-71.375, h-71.4, l-71.34, c-71.34, v-1602, oi-0.0
2021-05-20, o-71.36, h-71.36, l-71.34, c-71.34, v-1427, oi-0.0
2021-05-20, o-71.33, h-71.33, l-71.32, c-71.32, v-610, oi-0.0
2021-05-20, o-71.335, h-71.365, l-71.32, c-71.32, v-1482, oi-0.0
2021-05-21, o-71.62, h-71.89, l-71.615, c-71.89, v-1072, oi-0.0
2021-05-21, o-71.89, h-71.91, l-71.88, c-71.91, v-428, oi-0.0
2021-05-21, o-72, h-72, l-71.93, c-71.93, v-292, oi-0.0
2021-05-21, o-72, h-72, l-71.99, c-71.99, v-200, oi-0.0
2021-05-21, o-71.96, h-71.96, l-71.96, c-71.96, v-194, oi-0.0
2021-05-21, o-71.95, h-71.98, l-71.92, c-71.94, v-700, oi-0.0
2021-05-21, o-71.97, h-71.97, l-71.96, c-71.96, v-303, oi-0.0
2021-05-21, o-71.76, h-71.76, l-71.76, c-71.76, v-436, oi-0.0
2021-05-21, o-71.85, h-71.85, l-71.85, c-71.85, v-100, oi-0.0
2021-05-21, o-71.88, h-71.88, l-71.88, c-71.88, v-105, oi-0.0
2021-05-21, o-71.9, h-71.9, l-71.9, c-71.9, v-155, oi-0.0
2021-05-21, o-71.84, h-71.87, l-71.84, c-71.86, v-400, oi-0.0
2021-05-21, o-71.875, h-71.875, l-71.875, c-71.875, v-100, oi-0.0
2021-05-21, o-71.8, h-71.81, l-71.78, c-71.78, v-500, oi-0.0
2021-05-21, o-71.77, h-71.77, l-71.7, c-71.7, v-200, oi-0.0
2021-05-21, o-71.695, h-71.695, l-71.695, c-71.695, v-100, oi-0.0
2021-05-21, o-71.83, h-71.83, l-71.82, c-71.82, v-301, oi-0.0
2021-05-21, o-71.84, h-71.865, l-71.84, c-71.855, v-411, oi-0.0
2021-05-21, o-71.83, h-71.83, l-71.83, c-71.83, v-100, oi-0.0
2021-05-21, o-71.84, h-71.84, l-71.8, c-71.8, v-200, oi-0.0
2021-05-21, o-71.91, h-71.91, l-71.91, c-71.91, v-127, oi-0.0
2021-05-21, o-71.91, h-71.91, l-71.91, c-71.91, v-169, oi-0.0
2021-05-21, o-71.86, h-71.86, l-71.86, c-71.86, v-174, oi-0.0
2021-05-21, o-71.825, h-71.86, l-71.825, c-71.86, v-446, oi-0.0
2021-05-21, o-71.79, h-71.79, l-71.79, c-71.79, v-108, oi-0.0
2021-05-21, o-71.77, h-71.78, l-71.77, c-71.78, v-627, oi-0.0
2021-05-21, o-71.75, h-71.75, l-71.75, c-71.75, v-110, oi-0.0
2021-05-21, o-71.73, h-71.73, l-71.73, c-71.73, v-110, oi-0.0
2021-05-21, o-71.72, h-71.72, l-71.72, c-71.72, v-100, oi-0.0
2021-05-21, o-71.69, h-71.69, l-71.69, c-71.69, v-208, oi-0.0
2021-05-21, o-71.74, h-71.74, l-71.74, c-71.74, v-100, oi-0.0
2021-05-21, o-71.71, h-71.71, l-71.71, c-71.71, v-100, oi-0.0
2021-05-21, o-71.67, h-71.67, l-71.67, c-71.67, v-116, oi-0.0
2021-05-21, o-71.7, h-71.7, l-71.7, c-71.7, v-100, oi-0.0
2021-05-21, o-71.685, h-71.685, l-71.685, c-71.685, v-257, oi-0.0
2021-05-21, o-71.54, h-71.55, l-71.54, c-71.55, v-217, oi-0.0
2021-05-21, o-71.58, h-71.62, l-71.58, c-71.62, v-380, oi-0.0
2021-05-21, o-71.585, h-71.585, l-71.56, c-71.56, v-300, oi-0.0
2021-05-21, o-71.55, h-71.55, l-71.55, c-71.55, v-523, oi-0.0
2021-05-21, o-71.6, h-71.6, l-71.6, c-71.6, v-283, oi-0.0
2021-05-21, o-71.51, h-71.51, l-71.51, c-71.51, v-111, oi-0.0
2021-05-21, o-71.61, h-71.61, l-71.57, c-71.57, v-500, oi-0.0
2021-05-21, o-71.51, h-71.51, l-71.51, c-71.51, v-100, oi-0.0
2021-05-21, o-71.555, h-71.555, l-71.555, c-71.555, v-108, oi-0.0
2021-05-21, o-71.605, h-71.605, l-71.605, c-71.605, v-104, oi-0.0
2021-05-21, o-71.575, h-71.575, l-71.565, c-71.565, v-214, oi-0.0
2021-05-21, o-71.54, h-71.54, l-71.54, c-71.54, v-210, oi-0.0
2021-05-21, o-71.57, h-71.6, l-71.57, c-71.58, v-818, oi-0.0
2021-05-21, o-71.58, h-71.58, l-71.565, c-71.565, v-337, oi-0.0
2021-05-21, o-71.56, h-71.6, l-71.56, c-71.6, v-416, oi-0.0
2021-05-21, o-71.59, h-71.59, l-71.59, c-71.59, v-100, oi-0.0
2021-05-21, o-71.6, h-71.615, l-71.6, c-71.615, v-303, oi-0.0
2021-05-21, o-71.61, h-71.61, l-71.61, c-71.61, v-204, oi-0.0
2021-05-21, o-71.62, h-71.62, l-71.62, c-71.62, v-151, oi-0.0
2021-05-21, o-71.62, h-71.62, l-71.59, c-71.59, v-311, oi-0.0
2021-05-21, o-71.585, h-71.585, l-71.585, c-71.585, v-106, oi-0.0
2021-05-21, o-71.62, h-71.62, l-71.6, c-71.6, v-502, oi-0.0
2021-05-21, o-71.57, h-71.57, l-71.57, c-71.57, v-107, oi-0.0
2021-05-21, o-71.59, h-71.63, l-71.59, c-71.63, v-3999, oi-0.0
2021-05-21, o-71.64, h-71.64, l-71.64, c-71.64, v-100, oi-0.0
2021-05-21, o-71.64, h-71.65, l-71.64, c-71.65, v-202, oi-0.0
2021-05-21, o-71.655, h-71.655, l-71.65, c-71.65, v-250, oi-0.0
2021-05-21, o-71.625, h-71.63, l-71.59, c-71.59, v-396, oi-0.0
2021-05-21, o-71.63, h-71.63, l-71.63, c-71.63, v-199, oi-0.0
2021-05-21, o-71.62, h-71.62, l-71.62, c-71.62, v-100, oi-0.0
2021-05-21, o-71.56, h-71.56, l-71.56, c-71.56, v-101, oi-0.0
2021-05-21, o-71.63, h-71.63, l-71.63, c-71.63, v-148, oi-0.0
2021-05-21, o-71.62, h-71.62, l-71.61, c-71.61, v-602, oi-0.0
2021-05-21, o-71.66, h-71.66, l-71.66, c-71.66, v-100, oi-0.0
2021-05-21, o-71.65, h-71.65, l-71.645, c-71.645, v-601, oi-0.0
2021-05-21, o-71.58, h-71.58, l-71.58, c-71.58, v-108, oi-0.0
2021-05-21, o-71.55, h-71.55, l-71.55, c-71.55, v-537, oi-0.0
2021-05-21, o-71.52, h-71.52, l-71.48, c-71.48, v-401, oi-0.0
2021-05-21, o-71.54, h-71.54, l-71.54, c-71.54, v-333, oi-0.0
2021-05-21, o-71.53, h-71.54, l-71.52, c-71.54, v-513, oi-0.0
2021-05-21, o-71.57, h-71.6, l-71.56, c-71.6, v-1325, oi-0.0
2021-05-21, o-71.57, h-71.57, l-71.55, c-71.55, v-300, oi-0.0
2021-05-21, o-71.55, h-71.55, l-71.55, c-71.55, v-370, oi-0.0
2021-05-21, o-71.57, h-71.58, l-71.56, c-71.56, v-413, oi-0.0
2021-05-21, o-71.56, h-71.56, l-71.56, c-71.56, v-218, oi-0.0
2021-05-21, o-71.56, h-71.56, l-71.56, c-71.56, v-1900, oi-0.0
2021-05-21, o-71.61, h-71.62, l-71.57, c-71.57, v-1103, oi-0.0
2021-05-21, o-71.58, h-71.58, l-71.58, c-71.58, v-500, oi-0.0
2021-05-21, o-71.575, h-71.575, l-71.57, c-71.57, v-2100, oi-0.0
2021-05-21, o-71.54, h-71.54, l-71.54, c-71.54, v-100, oi-0.0
2021-05-21, o-71.53, h-71.53, l-71.53, c-71.53, v-155, oi-0.0
2021-05-21, o-71.5, h-71.5, l-71.5, c-71.5, v-438, oi-0.0
2021-05-21, o-71.52, h-71.52, l-71.48, c-71.49, v-3101, oi-0.0
2021-05-21, o-71.385, h-71.385, l-71.385, c-71.385, v-127, oi-0.0
2021-05-21, o-71.45, h-71.45, l-71.45, c-71.45, v-440, oi-0.0
2021-05-21, o-71.395, h-71.4, l-71.395, c-71.4, v-509, oi-0.0
2021-05-21, o-71.39, h-71.39, l-71.39, c-71.39, v-306, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.38, c-71.38, v-203, oi-0.0
2021-05-21, o-71.37, h-71.39, l-71.37, c-71.39, v-300, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.41, c-71.41, v-100, oi-0.0
2021-05-21, o-71.415, h-71.415, l-71.415, c-71.415, v-101, oi-0.0
2021-05-21, o-71.4, h-71.4, l-71.4, c-71.4, v-108, oi-0.0
2021-05-21, o-71.37, h-71.37, l-71.37, c-71.37, v-107, oi-0.0
2021-05-21, o-71.295, h-71.295, l-71.295, c-71.295, v-107, oi-0.0
2021-05-21, o-71.315, h-71.315, l-71.3, c-71.3, v-401, oi-0.0
2021-05-21, o-71.35, h-71.35, l-71.35, c-71.35, v-175, oi-0.0
2021-05-21, o-71.38, h-71.38, l-71.38, c-71.38, v-199, oi-0.0
2021-05-21, o-71.35, h-71.35, l-71.35, c-71.35, v-100, oi-0.0
2021-05-21, o-71.36, h-71.36, l-71.36, c-71.36, v-101, oi-0.0
2021-05-21, o-71.32, h-71.33, l-71.32, c-71.33, v-240, oi-0.0
2021-05-21, o-71.335, h-71.335, l-71.335, c-71.335, v-100, oi-0.0
2021-05-21, o-71.35, h-71.35, l-71.35, c-71.35, v-164, oi-0.0
2021-05-21, o-71.4, h-71.41, l-71.4, c-71.41, v-439, oi-0.0
2021-05-21, o-71.395, h-71.4, l-71.39, c-71.4, v-401, oi-0.0
2021-05-21, o-71.4, h-71.4, l-71.4, c-71.4, v-100, oi-0.0
2021-05-21, o-71.375, h-71.375, l-71.375, c-71.375, v-101, oi-0.0
2021-05-21, o-71.39, h-71.4, l-71.39, c-71.4, v-300, oi-0.0
2021-05-21, o-71.36, h-71.36, l-71.36, c-71.36, v-308, oi-0.0
2021-05-21, o-71.335, h-71.335, l-71.335, c-71.335, v-107, oi-0.0
2021-05-21, o-71.38, h-71.38, l-71.37, c-71.37, v-650, oi-0.0
2021-05-21, o-71.36, h-71.36, l-71.36, c-71.36, v-320, oi-0.0
2021-05-21, o-71.37, h-71.37, l-71.37, c-71.37, v-107, oi-0.0
2021-05-21, o-71.38, h-71.38, l-71.38, c-71.38, v-230, oi-0.0
2021-05-21, o-71.375, h-71.375, l-71.37, c-71.37, v-447, oi-0.0
2021-05-21, o-71.38, h-71.38, l-71.38, c-71.38, v-653, oi-0.0
2021-05-21, o-71.34, h-71.34, l-71.34, c-71.34, v-338, oi-0.0
2021-05-21, o-71.375, h-71.375, l-71.375, c-71.375, v-302, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.41, c-71.41, v-239, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.41, c-71.41, v-300, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.4, c-71.4, v-302, oi-0.0
2021-05-21, o-71.41, h-71.41, l-71.41, c-71.41, v-200, oi-0.0
2021-05-21, o-71.4, h-71.4, l-71.4, c-71.4, v-122, oi-0.0
2021-05-21, o-71.39, h-71.39, l-71.36, c-71.36, v-411, oi-0.0
2021-05-21, o-71.33, h-71.33, l-71.325, c-71.325, v-309, oi-0.0
2021-05-21, o-71.33, h-71.33, l-71.33, c-71.33, v-500, oi-0.0
2021-05-21, o-71.345, h-71.345, l-71.34, c-71.34, v-806, oi-0.0
2021-05-21, o-71.335, h-71.335, l-71.32, c-71.32, v-212, oi-0.0
2021-05-21, o-71.27, h-71.27, l-71.27, c-71.27, v-100, oi-0.0
2021-05-21, o-71.28, h-71.28, l-71.28, c-71.28, v-100, oi-0.0
2021-05-21, o-71.27, h-71.27, l-71.265, c-71.265, v-343, oi-0.0
2021-05-21, o-71.29, h-71.29, l-71.29, c-71.29, v-151, oi-0.0
2021-05-21, o-71.31, h-71.32, l-71.31, c-71.32, v-290, oi-0.0
2021-05-21, o-71.33, h-71.33, l-71.33, c-71.33, v-200, oi-0.0
2021-05-21, o-71.305, h-71.305, l-71.305, c-71.305, v-100, oi-0.0
2021-05-21, o-71.33, h-71.33, l-71.32, c-71.32, v-349, oi-0.0
2021-05-21, o-71.36, h-71.36, l-71.34, c-71.34, v-306, oi-0.0
2021-05-21, o-71.34, h-71.34, l-71.34, c-71.34, v-121, oi-0.0
2021-05-21, o-71.355, h-71.355, l-71.355, c-71.355, v-300, oi-0.0
2021-05-21, o-71.34, h-71.34, l-71.335, c-71.335, v-400, oi-0.0
